,Train Time
1,0.03357982635498047
2,0.006988525390625
3,0.0078122615814208984
4,0.006005048751831055
5,0.005949497222900391
6,0.0049512386322021484
7,0.006000041961669922
8,0.006000041961669922
9,0.005998849868774414
10,0.0050008296966552734
