epoch,train_time,train_loss,test_loss
1,4.0757458209991455,1929.0765,0.0
2,3.7540946006774902,5.633846,0.0
3,2.9661967754364014,5.633846,0.0
4,2.5588154792785645,5.633846,0.0
5,2.5193185806274414,5.633846,0.0
6,2.5502519607543945,5.633846,0.0
7,2.4809765815734863,5.633846,0.0
8,2.497530937194824,5.633846,0.0
9,2.5388407707214355,5.633846,0.0
10,2.4919281005859375,5.633846,0.0
